	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP102941	1	224137	51.3400286431959	413bf00dc49f51a2d31e9aab71671190	IncFIB,IncFII,rep_cluster_2392	000107__CP014778_00094,CP000966,CP045830_00002	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_011281_00082,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	MG288679	0.00134007	Klebsiella pneumoniae	AA276	AI081	multi-phylla	Actinobacteria,Proteobacteria	multi-phylla	Actinobacteria,Proteobacteria	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP093932	1	34990	28.74821377536439	ac178e7dbe967ef00c72ffc803b18c61	rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	CP000737,AP003139,AP003089	-	-	-	-	MOBV	KC964607	mobilizable	NC_010077	0.000458924	Staphylococcus aureus	AB628	AK482	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP076816	1	17469	35.846356402770624	3ce0b3d440876c504970ff5ab015333c	rep_cluster_1282	000599__KX426232_00098	MOBQ	CP032102_00178	-	-	-	-	mobilizable	MK323042	0.0134525	Acinetobacter baumannii	AC161	AL237	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP103700	1	224357	52.49134192380893	d18767053cc64fce00ac020652430111	IncFIB,IncFII	000107__CP014778_00094,000124__KP125893_00142	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP024500	0.00354859	Klebsiella pneumoniae	AA277	AI089	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP076260	1	89049	49.35597255443632	5b26d17ae0b1b828e470abab698c1e34	IncFIB,IncFII,IncI1	000095__NZ_CP014273_00094,LS992172_00069,CP010124_00057	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	MF370216	0.035505	Escherichia coli	AA304	AI157	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP076497	1	33656	35.99655336344188	6e97307ba5fb73ac7da600e0d215f487	rep_cluster_185,rep_cluster_282	001274__DQ198088_00024,001560__NC_020237_00009	MOBV	NC_020237_00008	-	-	-	-	mobilizable	NC_011140	0.0236777	Enterococcus faecium	AB171	AJ801	multi-phylla	Firmicutes,Proteobacteria	multi-phylla	Firmicutes,Proteobacteria	-	-	-
NZ_CP076820	1	9543	33.4590799538929	1a4385c147ed3f832d61294150460bc0	rep_cluster_1226	000523__LT594096_00001	-	-	-	-	-	-	non-mobilizable	CP026126	0.0171844	Acinetobacter baumannii	AB338	AK069	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP102078	1	290720	47.20383874518437	5653c3e809d4345c08579e4d49ab2116	IncFIB,IncHI1B,IncR,rep_cluster_1254	CP024497_00001,JN420336,000204__CP008701_00115,000562__KT346360_00001	MOBH	NC_016980_00239	MPF_F	NC_016980_00240,NC_018107_00101,NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_016980_00099	MOBF	NZ_CP016035	conjugative	CP043933	0.00759618	Klebsiella pneumoniae	AA405	AI440	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	18606786; 11254626; 19482926; 23711894; 15781495; 20851899; 16257053
NZ_CP078522	1	46979	29.106622107750272	a6bf49e64ae112c991a8059280f229bb	rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	CP000737,AP003139,AP003089	-	-	-	-	MOBV	KC964607	mobilizable	NC_013348	0.0084995	Staphylococcus aureus	AB628	AK482	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP087356	1	11084	35.348249729339585	4bd61b3db3353d63836a781021b992b1	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	KR535993	0.00314086	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP086562	1	33086	32.929335670676416	624d21d16847284769dbaa21ef55566d	rep_cluster_992	002472__AE016833_00001	MOBP,MOBV	AP018540_00034,NC_022618_00010	-	-	-	-	mobilizable	KY513281	0.0418553	Enterococcus faecalis	AD582	AN189	class	Bacilli	class	Bacilli	-	-	-
NZ_CP074034	1	96684	52.594017624425966	3b740c278f1e817f31e20e9e58302614	IncFIA,IncFIA,IncFIC	CP022610_00144,AF250878,CR942285	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	NZ_ALIR01000021	conjugative	NC_019122	0.0243695	Salmonella enterica subsp. enterica serovar Heidelberg	AA303	AI153	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP073954	1	94480	51.22248094834886	53a39f08447a8d18d1b03ef6885e1829	IncFIA,IncFIC	000136__AP014877_00014,AY458016	MOBF	CP030197_00146	MPF_F	NC_011413_00056,NC_011413_00058,NC_011413_00063,NC_011413_00064,NC_011413_00068,NC_011413_00069,NC_011413_00074,NC_011413_00075,NC_011413_00060,NC_011413_00080	-	-	conjugative	CP024864	0.0519203	Escherichia coli	AA180	AH871	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP097060	1	69215	34.758361626814995	55a13b0d4ce9f22e13da39ab891e8170	rep_cluster_980	002463__CP002494_00007	MOBC,MOBV	NZ_ASWX01000006_00035,NC_022618_00010	-	-	-	-	mobilizable	CP002494	0.0267335	Enterococcus faecalis 62	AE312	AO071	class	Bacilli	class	Bacilli	-	-	-
NZ_CP062389	1	27269	27.177380908724192	883eac218b3447484c0156db48f26ad8	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000261__GQ900456,000262__NC_007169_00002,HF937104	-	-	-	-	MOBV,MOBV	JN106164,AJ639924	mobilizable	CP040624	0.000143503	Staphylococcus aureus	AA848	AJ244	class	Bacilli	class	Bacilli	-	-	-
NZ_CP102187	1	219806	50.02274733173799	d2c4340a46fb188155f1da592353c447	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP029221	9.55247e-05	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP097039	1	82447	34.55674554562325	38e5724170464f225261bac9ad8651bd	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBT,MOBV	CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.00279888	Enterococcus faecalis	AD582	AN186	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	-	-	-
NZ_CP081506	1	121520	33.944206714944045	e2a634cf679a484355c35695a555dd0d	rep_cluster_556,rep_cluster_976	001947__CP014892,002460__CP015884	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	MK140641	2.38274e-05	Enterococcus faecalis	AE311	AO068	class	Bacilli	class	Bacilli	-	-	-
NZ_CP076280	1	149690	45.83672924043022	304098d124d387287fa6bcfe2cdc3ff2	IncFIB,IncFIC,IncI-gamma/K1	000095__NZ_CP014273_00094,AP001918,MG764547	MOBF	NC_017627_00068	MPF_F	NC_008460_00107,08-5333_00200	-	-	conjugative	CP027460	0.0716227	Escherichia coli	AA346	AI297	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	23333216; 11254626; 15781495; 30761100; 19482926; 28842132; 25987637; 21470454; 29899511; 20851899; 16257053
NZ_CP090559	1	77536	33.84234420140322	59a053dd547e706d0ca39e5297f08dae	rep_cluster_976	002460__CP015884	MOBP	NC_013533_00032	MPF_T	NC_006827_00028	-	-	conjugative	NC_013533	0.0468354	Enterococcus faecalis	AB527	AK338	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP092568	1	24652	28.658932338147007	c7a3f64a824c335fb788856f8587ef2c	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP103591	1	82743	51.77114680395925	c33c22b0025034b87d133eb7c5cd0d95	IncFIB,IncFII,rep_cluster_2131	000096__NC_019117_00097,KF954760,CP030770_00142	MOBP	NC_021819_00066	-	-	-	-	mobilizable	CP041619	0.00197282	Shigella flexneri	AA352	AI306	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 25389419; 19482926; 15781495; 20851899; 16257053
NZ_CP092826	1	25884	29.064286818111576	c347ee804a73d7e591c6b6cf19ae9293	rep_cluster_1017,rep_cluster_1118,rep_cluster_1118,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,000331__NC_019148_00002,000377__NC_001763_00002,CP000737,AP003139	MOBV	NC_010262_00002	-	-	MOBV	CP020609	mobilizable	MK933274	0.000336872	Staphylococcus aureus subsp. aureus	AA841	AJ231	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	-	-	-
NZ_CP103597	1	133650	50.255892255892256	ae8de1b3c4cb1b7dcc0ce30c7fb65a27	IncFIB	000095__NZ_CP014273_00094	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	AF242367	conjugative	KP398867	0.0023533	Escherichia coli	AA176	AH856	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP098419	1	60399	34.37142999056276	9136f12a0fec3f89133ef16102bc1036	rep_cluster_180	001222__CP008815_00027	MOBP	NC_006827_00032	MPF_T	NC_004671_00018,NC_006827_00028	-	-	conjugative	CP022485	0.0332581	Enterococcus faecalis ARO1/DG	AB528	AK341	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP077842	1	11194	34.777559406825084	34bb894e3cd85255ab23a329ced1b7b8	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040088	0.000119496	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP077845	1	11194	34.777559406825084	5c8ae50e7de749d3cc8f41c12b37bc3e	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040088	0.000119496	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP103319	1	83447	54.97022061907558	7b78272029cca2fe437a818c29428ddb	IncFIA,IncFII,IncR,IncU	MH263653_00001,JN232517,000204__CP008701_00115,000210__KF623109_00045	-	-	MPF_F	NC_014312_00116	-	-	non-mobilizable	CP032166	0.00737682	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 23711894; 30619542; 24247128; 20851899; 22511964
NZ_CP071186	1	52486	34.95217772358343	bde51cb8214bd4c37c0267add70c0e78	rep_cluster_1118,rep_cluster_1118,rep_cluster_992	000391__NC_005564_00006,U35036,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0178909	Enterococcus faecalis	AD582	AN187	multi-phylla	Proteobacteria,Firmicutes,Bacteroidetes	multi-phylla	Proteobacteria,Firmicutes,Bacteroidetes	-	-	-
NZ_CP062349	1	20653	28.38328572120273	3b030e474db451e8df1abe86e7eb6309	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013303	4.76906e-05	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP074002	1	136494	49.23879437924011	581a1e9c895d643c2f6eec7dee71d09b	IncY	000230__CP009168_00001	-	-	-	-	MOBF	NZ_CP013834	mobilizable	CP010154	0.030875	Escherichia coli	AA812	AJ177	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	28031198
NZ_CP062355	1	20680	28.35589941972921	3279fc4972fbf7c107a2085e4691e2d0	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP029083	0.000191626	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP073933	1	85429	52.767795479286896	2fcf31ad0a12c50ac868f3a5d9a6fba4	IncFIA,IncFIC	000136__AP014877_00014,AY458016	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	KX246267	0.00694555	Escherichia coli	AA323	AI214	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP077839	1	8731	34.37177871950521	057121fe82548bb02ae41f2dd9a1c99e	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	MK386683	0.0	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP101778	1	57405	52.99712568591586	5351d21961f69a16dc664025e76b563e	IncFII,rep_cluster_1418,rep_cluster_2183	000129__CP018340,000759__NC_013950_00034,CP033468_00001	-	-	-	-	-	-	non-mobilizable	CP028553	0.0228571	Klebsiella variicola	AA449	AI534	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	20547789; 16940067; 20851899
NZ_CP076502	1	33652	35.99488886247474	02e567f9d30e4e8953035695bdf29115	rep_cluster_185,rep_cluster_282	001274__DQ198088_00024,001560__NC_020237_00009	MOBV	NC_020237_00008	-	-	-	-	mobilizable	NC_011140	0.0236777	Enterococcus faecium	AB171	AJ801	multi-phylla	Proteobacteria,Firmicutes	multi-phylla	Proteobacteria,Firmicutes	-	-	-
NZ_CP062365	1	27473	27.47424744294398	98fdd1ef6018199835b38298337afdbe	rep_cluster_2341,rep_cluster_418	GQ900449,001753__AB125341_00033	-	-	-	-	-	-	non-mobilizable	CP032158	0.0816138	Staphylococcus warneri	AD281	AM767	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP098422	1	16255	36.04429406336512	d6f826e80baf159cf3eb6dd2b00a0911	Inc18	AB290882	-	-	-	-	-	-	non-mobilizable	CP024844	0.0419997	Streptococcus iniae	AD058	AM485	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP099505	1	20723	28.644501278772378	7ce167f3017db271b257fd0b9c50e28b	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBV	CP020609	mobilizable	MK933273	0.000143503	Staphylococcus aureus subsp. aureus	AA841	AJ231	class	Bacilli	class	Bacilli	-	-	-
NZ_CP087339	1	11244	35.22767698327997	305b7d1b56bf1e8700cfd0b781afc49c	rep_cluster_1306	000622__NZ_ALII01000019_00004	-	-	-	-	-	-	non-mobilizable	CP015486	0.0852783	Acinetobacter baumannii	AC163	AL239	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP097003	1	72603	35.433797501480655	6af8ca9218cd07a9360c7e1bdb927bf4	rep_cluster_1118,rep_cluster_980	000382__CP017110,002463__CP002494_00007	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.0120757	Enterococcus faecalis	AD582	AN186	multi-phylla	Firmicutes,Bacteroidetes,Proteobacteria	multi-phylla	Firmicutes,Bacteroidetes,Proteobacteria	-	-	-
NZ_CP062313	1	17329	28.36285994575567	22f3a7715f74864d7086ce00ce4edf2b	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOB_unknown	LN890519	mobilizable	CP012975	0.000215742	Staphylococcus aureus	AA069	AH668	class	Bacilli	class	Bacilli	-	-	-
NZ_CP103551	1	113639	53.92954883446704	55367090dacce519d9e7afad19f0e8f7	IncFIB,IncFII,rep_cluster_2183	000097__NC_025166_00051,000129__CP018340,CP033468_00001	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_023905_00125,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP014650	2.38274e-05	Klebsiella pneumoniae	AA018	AH561	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 20547789; 19482926; 15781495; 20851899; 16257053
NZ_CP103862	1	40153	33.79573132767165	e0acae069ba7888224790493352d1d50	rep_cluster_1027	AB563188	-	-	-	-	-	-	non-mobilizable	AP018544	0.0415686	Enterococcus faecalis	AE311	AO067	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP098026	1	65961	35.73475235366353	6c77c8ab1320fad08332481112c8be6f	rep_cluster_180	001222__CP008815_00027	MOBP	NC_006827_00032	MPF_T	NC_004671_00018,NC_006827_00028	-	-	conjugative	MG765452	0.0151872	Enterococcus faecalis	AB528	AK340	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP101795	1	95527	51.55924503020088	d970bd07631b6840e4a67fba00eaab37	IncFII,rep_cluster_1418,rep_cluster_2183	000129__CP018340,000759__NC_013950_00034,CP033468_00001	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	FJ876826	0.000680979	Klebsiella pneumoniae	AA449	AI534	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	20547789; 16940067; 20851899
NZ_CP097009	1	72164	34.53522532010421	dc9d06634923669b214f6ff2fc9f6d50	rep_cluster_1118,rep_cluster_1118,rep_cluster_992	U35036,000391__NC_005564_00006,002472__AE016833_00001	MOBP,MOBV	NC_013533_00032,NC_022618_00010	MPF_T	NC_006827_00028	-	-	conjugative	KX579977	0.00186568	Enterococcus faecalis	AD582	AN187	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	-	-	-
NZ_CP091900	1	65785	34.4516227103443	00a69b91cb9b2e908adab0b6ffd51075	rep_cluster_980	002463__CP002494_00007	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP019514	0.000458924	Enterococcus faecalis	AE309	AO064	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103748	1	50937	49.93226927380882	cab43642798de2519011255b8f2486e0	IncI-gamma/K1	KC788405	MOBP	NC_019097	MPF_I	NC_019097_00056	MOBP	JN253636	conjugative	KY463221	0.00249129	Escherichia coli	AC026	AL043	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP091228	1	101904	34.874980373685034	98a07de7a5549964fa1e2fbc16a7a3ff	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.0123068	Enterococcus faecalis	AD582	AN186	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	-	-	-
NZ_CP062379	1	27265	27.17770034843205	23bd0427f79cfa348fb6935491da70d9	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000261__GQ900456,000262__NC_007169_00002,HF937104	-	-	-	-	MOBV,MOBV	JN106164,AJ639924	mobilizable	CP040624	4.76906e-05	Staphylococcus aureus	AA848	AJ244	class	Bacilli	class	Bacilli	-	-	-
NZ_CP102068	1	26169	35.04528258626619	e307a05bcb3ece3f3e8bf34b1fde8a75	Inc18	000086__KY579372_00014	-	-	-	-	-	-	non-mobilizable	CP024844	0.0439391	Streptococcus iniae	AD058	AM485	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP088199	1	59610	34.99580607280657	b07ca13e96f6b50e397a24f3c4e9e24b	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0175349	Enterococcus faecalis	AD582	AN187	multi-phylla	Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Bacteroidetes,Proteobacteria,Firmicutes	-	-	-
NZ_CP090835	1	75446	54.4442382631286	d67ea05449ee3ce3cfaea40dd2691266	IncFIA,IncU	MK878891_00042,000210__KF623109_00045	MOBF	NC_017627_00068	-	-	-	-	mobilizable	CP016402	0.0317837	Klebsiella pneumoniae subsp. pneumoniae	AC037	AL058	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 30619542; 24247128; 20851899; 22511964
NZ_CP073925	1	252347	48.146401581948666	b5955811d62957d35179827ae7e1b8d8	IncHI1A,IncQ1	AF250878,000195__NC_013728_00014	MOBH	NC_013365_00169	MPF_F	NC_019360_00278,NC_005211_00030,NC_002305_00127,NC_002305_00120,NC_019360_00255,NC_019360_00256,NC_009981_00239	-	-	conjugative	KP899804	0.0064892	Salmonella enterica	AA998	AJ516	phylum	Proteobacteria	phylum	Proteobacteria	phylum	Proteobacteria	2653965; 25389419; 20851899
NZ_CP097057	1	76911	34.81296563560479	f114df0c992e55db2295532ed3d87325	rep_cluster_980	002463__CP002494_00007	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP002494	0.0271635	Enterococcus faecalis 62	AE312	AO071	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP098746	1	49313	34.55478271449719	123a03a6e99a38cde42378fb16f5c2f5	rep_cluster_976	002460__CP015884	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	MK140641	0.0267335	Enterococcus faecalis	AE311	AO068	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP096741	1	11196	34.78027867095391	3003ef5f782ea274283b7d04ca73fecf	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	0.000239895	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP102878	1	222330	46.36351369585751	92a0bf150479679d27e819f80a192376	IncFIB,IncHI1B,rep_cluster_1254	CP024497_00001,JN420336,000562__KT346360_00001	-	-	MPF_F	NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_016980_00099	-	-	non-mobilizable	MG288682	0.015508	Klebsiella aerogenes	AA405	AI438	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP092560	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP103590	1	91107	49.65480149714072	18c998dbd2a5381529f0ae2c17c42135	IncI1/B/O	HF572032	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	KJ406378	0.000119496	Shigella sonnei	AA474	AI621	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
NZ_CP092553	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP103743	1	136642	51.64810234042242	8bf78b8f135e4d5ced69c998373cdb71	IncFIA,IncFIB,IncFII,IncFII,rep_cluster_2131	000136__AP014877_00014,000096__NC_019117_00097,KF954760,AJ851089,CP030770_00142	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_010719_00097,NC_008460_00107,NC_013437_00116,08-5333_00200	MOBF	NZ_CM001473	conjugative	CP035478	0.00458019	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103606	1	135203	51.73849692684334	bade56a3cb2e77579a64f5e45ed8c4df	IncFIB,IncFII	000107__CP014778_00094,000124__KP125893_00142	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_022609_00081,NC_011281_00082,NC_021654_00016,NC_019165_00034,NC_014312_00141,NC_021502_00150	-	-	conjugative	CP010390	0.0149759	Klebsiella pneumoniae	AA276	AI083	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP076263	1	77652	49.26080461546386	318803a33121a34782c470526609f746	IncFIA,IncFIA,IncFIB	CP022610_00144,AF250878,000101__NZ_CP012345_00042	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP009167	0.0403101	Escherichia coli 1303	AA304	AI158	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
